name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6
Аарон,одуш,м,!,I1,,,
Абакан,неод,м,!,I1,,,
Абакум,одуш,м,!,I1,,,
Абдул,одуш,м,!,I1,,,
Абрам,одуш,м,!,I1,,,
абсентик,неод,м,!,I1,,,
абсурдизм,неод,м,!,I1,,,
Аввакум,одуш,м,!,I1,,,
Августин,одуш,м,!,I1,,,
Авраам,одуш,м,!,I1,,,
Агап,одуш,м,!,I1,,,
Агасфер,одуш,м,!,I1,,,
Агафон,одуш,м,!,I1,,,
Адам,одуш,м,!,I1,,,
адидас,неод,м,!,I1,,,
Адонис,одуш,м,!,I1,,,
Адриан,одуш,м,!,I1,,,
Азат,одуш,м,!,I1,,,
Азербайджан,неод,м,!,I1,,,
Азов,неод,м,!,I1,,,
Аид,неод,м,!,I1,,,
Айвон,одуш,м,!,I1,,,
Айзек,одуш,м,!,I1,,,
Аким,одуш,м,!,I1,,,
Акоп,одуш,м,!,I1,,,
Аксен,одуш,м,!,I1,,,
Алекс,одуш,м,!,I1,,,
Алжир,неод,м,!,I1,,,
Алик,одуш,м,!,I1,,,
Аллах,одуш,м,!,I1,,,
Алоиз,одуш,м,!,I1,,,
Алоис,одуш,м,!,I1,,,
Альбион,неод,м,!,I1,,,
Амон,одуш,м,!,I1,,,
Амос,одуш,м,!,I1,,,
анал,неод,м,!,I1,,,
аналитизм,неод,м,!,I1,,,
Анан,одуш,м,!,I1,,,
Анастас,одуш,м,!,I1,,,
андеграунд,неод,м,!,I1,,,
андерграунд,неод,м,!,I1,,,
Андреас,одуш,м,!,I1,,,
Андриан,одуш,м,!,I1,,,
Андриян,одуш,м,!,I1,,,
Анисим,одуш,м,!,I1,,,
аннексионизм,неод,м,!,I1,,,
Антон,одуш,м,!,I1,,,
Антуан,одуш,м,!,I1,,,
Аполлон,одуш,м,!,I1,,,
аппетитик,неод,м,!,I1,,,
Арафат,одуш,м,!,I1,,,
Арлекин,одуш,м,!,I1,,,
армагеддон,неод,м,!,I1,,,
Арон,одуш,м,!,I1,,,
Арсен,одуш,м,!,I1,,,
Артем,одуш,м,!,I1,,,
Артур,одуш,м,!,I1,,,
Артурик,одуш,м,!,I1,,,
Артурчик,одуш,м,!,I1,,,
Афган,неод,м,!,I1,,,
Ахилл,одуш,м,!,I1,,,
Ахиллес,одуш,м,!,I1,,,
Ахмад,одуш,м,!,I1,,,
Ахмат,одуш,м,!,I1,,,
Ахмед,одуш,м,!,I1,,,
Ахмет,одуш,м,!,I1,,,
Ашот,одуш,м,!,I1,,,
Ашотик,одуш,м,!,I1,,,
Байкал,неод,м,!,I1,,,
Байрон,одуш,м,!,I1,,,
бакалавриат,неод,м,!,I1,,,
Бальзак,одуш,м,!,I1,,,
бан,неод,м,!,I1,,,
Барнаул,неод,м,!,I1,,,
Барт,одуш,м,!,I1,,,
Бахус,одуш,м,!,I1,,,
безнал,неод,м,!,I1,,,
Белл,одуш,м,!,I1,,,
Бен,одуш,м,!,I1,,,
Бенджамин,одуш,м,!,I1,,,
Берлин,неод,м,!,I1,,,
бесполезняк,неод,м,!,I1,,,
Билл,одуш,м,!,I1,,,
Биробиджан,неод,м,!,I1,,,
Боливар,одуш,м,!,I1,,,
Бонапарт,одуш,м,!,I1,,,
Борис,одуш,м,!,I1,,,
Бостон,неод,м,!,I1,,,
Брест,неод,м,!,I1,,,
брутализм,неод,м,!,I1,,,
Брюс,одуш,м,!,I1,,,
Брянск,неод,м,!,I1,,,
бутор,неод,м,!,I1,,,
Вагнер,одуш,м,!,I1,,,
Вадик,одуш,м,!,I1,,,
Вадим,одуш,м,!,I1,,,
Вакх,одуш,м,!,I1,,,
Валдис,одуш,м,!,I1,,,
Валентин,одуш,м,!,I1,,,
Валериан,одуш,м,!,I1,,,
Валерьян,одуш,м,!,I1,,,
Вальдемар,одуш,м,!,I1,,,
вампиризм,неод,м,!,I1,,,
варикоз,неод,м,!,I1,,,
Варлаам,одуш,м,!,I1,,,
Варлам,одуш,м,!,I1,,,
Ватикан,неод,м,!,I1,,,
Вахтанг,одуш,м,!,I1,,,
ваххабизм,неод,м,!,I1,,,
Вениамин,одуш,м,!,I1,,,
Венсан,одуш,м,!,I1,,,
Виктор,одуш,м,!,I1,,,
Винс,одуш,м,!,I1,,,
Винсент,одуш,м,!,I1,,,
Винчестер,одуш,м,!,I1,,,
Виссарион,одуш,м,!,I1,,,
Виталик,одуш,м,!,I1,,,
Вифлеем,неод,м,!,I1,,,
вишнуизм,неод,м,!,I1,,,
Влад,одуш,м,!,I1,,,
Влас,одуш,м,!,I1,,,
Вовик,одуш,м,!,I1,,,
Вовчик,одуш,м,!,I1,,,
Вольтер,одуш,м,!,I1,,,
вопеж,неод,м,!,I1,,,
вуайеризм,неод,м,!,I1,,,
выпивончик,неод,м,!,I1,,,
Вьетнам,неод,м,!,I1,,,
Гадес,одуш,м,!,I1,,,
галлюциноз,неод,м,!,I1,,,
Гамлет,одуш,м,!,I1,,,
Ганс,одуш,м,!,I1,,,
Гапон,одуш,м,!,I1,,,
Гарретт,одуш,м,!,I1,,,
Гаспар,одуш,м,!,I1,,,
Гвидон,одуш,м,!,I1,,,
Гейгер,одуш,м,!,I1,,,
Гек,одуш,м,!,I1,,,
Гектор,одуш,м,!,I1,,,
Гелиос,одуш,м,!,I1,,,
Гельмут,одуш,м,!,I1,,,
Герасим,одуш,м,!,I1,,,
Герман,одуш,м,!,I1,,,
Гермес,одуш,м,!,I1,,,
героинизм,неод,м,!,I1,,,
Герострат,одуш,м,!,I1,,,
Гийом,одуш,м,!,I1,,,
Гилберт,одуш,м,!,I1,,,
Гитлер,одуш,м,!,I1,,,
гламур,неод,м,!,I1,,,
Глаубер,одуш,м,!,I1,,,
Глеб,одуш,м,!,I1,,,
Гомер,одуш,м,!,I1,,,
госпел,неод,м,!,I1,,,
Губерт,одуш,м,!,I1,,,
Гумберт,одуш,м,!,I1,,,
гундеж,неод,м,!,I1,,,
Давид,одуш,м,!,I1,,,
Даг,одуш,м,!,I1,,,
дайвинг,неод,м,!,I1,,,
Дамаск,неод,м,!,I1,,,
Дамиан,одуш,м,!,I1,,,
Дамокл,одуш,м,!,I1,,,
Данил,одуш,м,!,I1,,,
Дарвин,одуш,м,!,I1,,,
дартс,неод,м,!,I1,,,
дебилизм,неод,м,!,I1,,,
Демид,одуш,м,!,I1,,,
Демьян,одуш,м,!,I1,,,
Денис,одуш,м,!,I1,,,
Деннис,одуш,м,!,I1,,,
деструктив,неод,м,!,I1,,,
Джабраил,одуш,м,!,I1,,,
Джамал,одуш,м,!,I1,,,
Джаспер,одуш,м,!,I1,,,
Джастин,одуш,м,!,I1,,,
Джафар,одуш,м,!,I1,,,
Джейк,одуш,м,!,I1,,,
Джейкоб,одуш,м,!,I1,,,
Джеймс,одуш,м,!,I1,,,
Джек,одуш,м,!,I1,,,
Джилберт,одуш,м,!,I1,,,
Джим,одуш,м,!,I1,,,
Джон,одуш,м,!,I1,,,
Джордан,одуш,м,!,I1,,,
Джохар,одуш,м,!,I1,,,
Джуд,одуш,м,!,I1,,,
Джулиан,одуш,м,!,I1,,,
Джулиус,одуш,м,!,I1,,,
дзен,неод,м,!,I1,,,
дзэн,неод,м,!,I1,,,
димедрольчик,неод,м,!,I1,,,
Димон,одуш,м,!,I1,,,
Дионис,одуш,м,!,I1,,,
дисбактериоз,неод,м,!,I1,,,
Днепр,неод,м,!,I1,,,
Днестр,неод,м,!,I1,,,
Доминик,одуш,м,!,I1,,,
Донбасс,неод,м,!,I1,,,
Донецк,неод,м,!,I1,,,
дубак,неод,м,!,I1,,,
Дуглас,одуш,м,!,I1,,,
Дэвид,одуш,м,!,I1,,,
Дэйв,одуш,м,!,I1,,,
Дэмиен,одуш,м,!,I1,,,
Дэниел,одуш,м,!,I1,,,
Еким,одуш,м,!,I1,,,
Емельян,одуш,м,!,I1,,,
Ермак,одуш,м,!,I1,,,
Ефрем,одуш,м,!,I1,,,
Жак,одуш,м,!,I1,,,
Жакоб,одуш,м,!,I1,,,
Жан,одуш,м,!,I1,,,
Ждан,одуш,м,!,I1,,,
Жерар,одуш,м,!,I1,,,
